iter	Passed	Remaining
0	60	60373
1	60	30376
2	61	20353
3	61	15354
4	62	12342
5	62	10334
6	62	8902
7	63	7825
8	63	6986
9	63	6315
10	64	5767
11	64	5310
12	64	4928
13	66	4705
14	67	4410
15	67	4155
16	68	3933
17	68	3749
18	69	3573
19	69	3415
20	70	3267
21	70	3132
22	70	2998
23	70	2885
24	71	2781
25	71	2684
26	72	2595
27	72	2507
28	72	2439
29	73	2367
30	73	2300
31	73	2236
32	74	2176
33	74	2130
34	75	2092
35	76	2042
36	76	1994
37	77	1950
38	77	1912
39	78	1876
40	78	1837
41	79	1803
42	79	1766
43	79	1734
44	80	1702
45	80	1667
46	80	1637
47	81	1610
48	81	1583
49	81	1557
50	82	1533
51	82	1506
52	83	1485
53	83	1464
54	84	1444
55	84	1423
56	84	1402
57	85	1383
58	85	1364
59	86	1347
60	86	1331
61	86	1314
62	87	1298
63	87	1284
64	90	1298
65	95	1349
66	96	1346
67	97	1333
68	98	1330
69	99	1318
70	99	1303
71	100	1289
72	100	1275
73	100	1261
74	101	1248
75	101	1235
76	102	1223
77	102	1212
78	103	1206
79	103	1194
80	106	1210
81	107	1203
82	108	1193
83	108	1184
84	109	1176
85	109	1166
86	110	1156
87	110	1146
88	110	1135
89	111	1124
90	111	1115
91	111	1104
92	112	1095
93	112	1086
94	113	1077
95	113	1068
96	113	1056
97	113	1048
98	114	1040
99	114	1032
100	114	1022
101	115	1014
102	115	1006
103	115	999
104	116	991
105	116	983
106	117	977
107	117	969
108	117	962
109	118	956
110	118	950
111	119	944
112	119	936
113	119	931
114	120	925
115	120	919
116	121	913
117	121	907
118	121	901
119	122	896
120	122	889
121	122	882
122	122	876
123	123	871
124	123	865
125	124	860
126	124	855
127	124	849
128	125	844
129	125	839
130	125	834
131	126	830
132	126	825
133	126	820
134	127	816
135	127	811
136	128	807
137	128	802
138	128	796
139	128	792
140	129	788
141	130	789
142	130	785
143	131	780
144	131	776
145	132	773
146	132	769
147	133	765
148	133	761
149	133	759
150	134	755
151	134	752
152	135	749
153	135	745
154	136	742
155	136	739
156	136	735
157	137	732
158	137	728
159	138	725
160	138	721
161	138	718
162	139	714
163	139	711
164	139	707
165	140	704
166	140	700
167	140	697
168	141	694
169	141	691
170	142	688
171	142	685
172	142	682
173	143	680
174	143	676
175	144	674
176	144	671
177	144	668
178	145	665
179	145	662
180	145	660
181	146	657
182	146	655
183	147	652
184	147	650
185	148	647
186	148	645
187	148	643
188	149	640
189	149	639
190	150	637
191	151	635
192	151	632
193	151	630
194	152	628
195	152	626
196	153	623
197	153	620
198	153	618
199	153	615
200	154	613
201	154	611
202	155	609
203	155	607
204	156	605
205	156	602
206	156	600
207	157	598
208	157	596
209	157	594
210	158	591
211	158	589
212	159	587
213	159	585
214	159	583
215	160	581
216	160	579
217	160	577
218	161	575
219	161	572
220	162	571
221	162	568
222	162	567
223	163	564
224	163	562
225	163	561
226	164	559
227	164	558
228	165	557
229	165	555
230	166	553
231	166	551
232	166	549
233	167	547
234	167	546
235	168	544
236	168	542
237	168	540
238	169	538
239	169	536
240	169	535
241	170	533
242	170	531
243	171	529
244	171	528
245	171	526
246	172	524
247	172	522
248	172	521
249	173	519
250	173	518
251	174	516
252	174	515
253	175	514
254	175	512
255	175	510
256	176	509
257	176	507
258	176	506
259	177	504
260	177	502
261	178	501
262	178	500
263	179	499
264	179	498
265	180	497
266	180	496
267	181	494
268	181	493
269	181	491
270	182	490
271	182	488
272	183	487
273	183	486
274	183	484
275	184	483
276	184	481
277	185	480
278	185	479
279	185	478
280	186	476
281	186	475
282	187	474
283	187	472
284	188	473
285	188	471
286	189	470
287	189	468
288	189	467
289	190	465
290	190	464
291	191	463
292	191	462
293	191	461
294	192	459
295	192	458
296	193	457
297	193	455
298	193	454
299	194	453
300	194	452
301	195	451
302	195	450
303	196	449
304	196	448
305	197	446
306	197	445
307	197	444
308	198	443
309	198	441
310	198	440
311	199	439
312	199	438
313	200	437
314	200	435
315	200	434
316	201	433
317	201	432
318	202	431
319	202	430
320	202	429
321	203	428
322	203	427
323	204	425
324	204	424
325	204	423
326	205	422
327	205	421
328	206	420
329	206	419
330	206	418
331	207	416
332	207	415
333	207	414
334	208	414
335	209	413
336	209	412
337	210	411
338	210	410
339	211	410
340	211	409
341	212	408
342	212	407
343	212	406
344	213	405
345	213	403
346	213	402
347	214	401
348	214	400
349	215	399
350	215	398
351	215	397
352	216	396
353	216	395
354	216	394
355	217	392
356	217	391
357	217	390
358	218	389
359	218	388
360	219	388
361	219	387
362	220	386
363	220	385
364	220	384
365	221	383
366	221	382
367	221	381
368	222	380
369	222	379
370	223	378
371	223	377
372	223	376
373	224	375
374	224	374
375	225	373
376	225	372
377	226	371
378	226	371
379	226	370
380	227	370
381	228	369
382	228	368
383	229	367
384	229	366
385	229	365
386	230	365
387	231	364
388	231	363
389	231	362
390	232	361
391	232	360
392	232	359
393	233	358
394	233	358
395	234	357
396	234	356
397	234	355
398	236	355
399	236	354
400	236	353
401	237	352
402	237	351
403	237	350
404	238	350
405	238	349
406	238	348
407	239	347
408	239	346
409	240	345
410	240	344
411	241	344
412	241	343
413	242	342
414	242	341
415	243	341
416	243	340
417	243	339
418	244	338
419	244	337
420	244	336
421	245	335
422	245	335
423	246	334
424	246	333
425	246	332
426	247	331
427	247	331
428	248	330
429	248	329
430	248	328
431	249	327
432	249	327
433	250	326
434	250	325
435	250	324
436	251	323
437	251	322
438	252	322
439	252	321
440	252	320
441	253	319
442	253	318
443	253	318
444	254	317
445	254	316
446	255	315
447	255	315
448	256	314
449	256	313
450	257	313
451	257	312
452	258	311
453	258	310
454	258	310
455	259	309
456	259	308
457	259	307
458	260	306
459	260	305
460	261	305
461	261	304
462	261	303
463	262	303
464	262	302
465	263	301
466	263	300
467	264	300
468	264	299
469	264	298
470	265	297
471	265	297
472	266	296
473	266	295
474	266	294
475	267	294
476	267	293
477	268	292
478	268	292
479	268	291
480	269	290
481	269	289
482	270	289
483	270	288
484	271	287
485	271	287
486	271	286
487	272	285
488	272	284
489	272	284
490	273	283
491	273	282
492	274	281
493	274	281
494	274	280
495	275	279
496	275	279
497	276	278
498	276	277
499	276	276
500	277	276
501	277	275
502	277	274
503	278	273
504	278	273
505	278	272
506	279	271
507	279	271
508	280	270
509	280	269
510	281	269
511	281	268
512	281	267
513	282	266
514	282	266
515	283	265
516	283	264
517	284	264
518	284	263
519	284	262
520	285	262
521	285	261
522	286	261
523	286	260
524	287	259
525	287	259
526	288	258
527	288	257
528	288	257
529	289	256
530	289	256
531	290	255
532	290	254
533	290	253
534	291	253
535	291	252
536	292	251
537	292	251
538	292	250
539	293	249
540	293	249
541	294	248
542	294	247
543	294	247
544	295	246
545	295	245
546	295	245
547	296	244
548	296	243
549	297	243
550	297	242
551	298	241
552	298	241
553	298	240
554	299	239
555	299	239
556	300	238
557	300	237
558	300	237
559	301	236
560	301	236
561	302	235
562	302	234
563	303	234
564	303	233
565	303	233
566	304	232
567	304	231
568	305	231
569	305	230
570	305	229
571	306	229
572	306	228
573	307	227
574	307	227
575	307	226
576	308	225
577	308	225
578	308	224
579	309	224
580	309	223
581	310	222
582	310	222
583	311	221
584	311	220
585	311	220
586	312	219
587	312	219
588	312	218
589	313	217
590	313	217
591	314	216
592	314	215
593	314	215
594	315	214
595	315	213
596	315	213
597	316	212
598	316	212
599	317	211
600	317	210
601	318	210
602	318	209
603	318	209
604	319	208
605	319	207
606	320	207
607	320	206
608	320	206
609	321	205
610	321	204
611	322	204
612	322	203
613	322	202
614	323	202
615	323	201
616	323	200
617	324	200
618	324	199
619	325	199
620	325	198
621	325	198
622	326	197
623	326	196
624	326	196
625	327	195
626	327	194
627	327	194
628	328	193
629	328	193
630	329	192
